TRADEDATE,close,ret,date_raw,key_rate,inflation,inflation_target
2024-05-27,3299.22,-0.0286412483438834,5.2024,16.0,8.3,4.0
2024-05-28,3302.91,0.0011184461781876,5.2024,16.0,8.3,4.0
2024-05-29,3318.03,0.0045777814109377,5.2024,16.0,8.3,4.0
2024-05-30,3282.18,-0.0108046039366733,5.2024,16.0,8.3,4.0
2024-05-31,3217.19,-0.0198008640598625,5.2024,16.0,8.3,4.0
2024-06-03,3141.42,-0.0235516087020039,6.2024,16.0,8.59,4.0
2024-06-04,3186.93,0.0144870790916209,6.2024,16.0,8.59,4.0
2024-06-05,3212.24,0.0079418123397752,6.2024,16.0,8.59,4.0
2024-06-06,3192.38,-0.0061826015490746,6.2024,16.0,8.59,4.0
2024-06-07,3233.22,0.012792963243724,6.2024,16.0,8.59,4.0
2024-06-10,3180.94,-0.0161696389357977,6.2024,16.0,8.59,4.0
2024-06-11,3171.1,-0.0030934252139305,6.2024,16.0,8.59,4.0
2024-06-13,3171.69,0.0001860553120369,6.2024,16.0,8.59,4.0
2024-06-14,3215.91,0.0139420939625245,6.2024,16.0,8.59,4.0
2024-06-17,3183.68,-0.0100220466368773,6.2024,16.0,8.59,4.0
2024-06-18,3114.15,-0.0218395064830635,6.2024,16.0,8.59,4.0
2024-06-19,3027.47,-0.0278342404829569,6.2024,16.0,8.59,4.0
2024-06-20,3123.43,0.0316964329952071,6.2024,16.0,8.59,4.0
2024-06-21,3114.35,-0.0029070605071988,6.2024,16.0,8.59,4.0
2024-06-24,3098.05,-0.0052338369162103,6.2024,16.0,8.59,4.0
2024-06-25,3111.39,0.0043059343780764,6.2024,16.0,8.59,4.0
2024-06-26,3151.7,0.0129556243351043,6.2024,16.0,8.59,4.0
2024-06-27,3150.32,-0.0004378589332739,6.2024,16.0,8.59,4.0
2024-06-28,3154.36,0.0012824094060286,6.2024,16.0,8.59,4.0
2024-07-01,3186.19,0.0100907949631621,7.2024,18.0,9.13,4.0
2024-07-02,3217.29,0.0097608742730346,7.2024,18.0,9.13,4.0
2024-07-03,3203.07,-0.0044198688958719,7.2024,18.0,9.13,4.0
2024-07-04,3133.81,-0.0216230054291665,7.2024,18.0,9.13,4.0
2024-07-05,3149.29,0.0049396740708593,7.2024,18.0,9.13,4.0
2024-07-08,3132.58,-0.0053059578508172,7.2024,18.0,9.13,4.0
2024-07-09,3054.07,-0.0250624086216472,7.2024,18.0,9.13,4.0
2024-07-10,2975.75,-0.0256444678740173,7.2024,18.0,9.13,4.0
2024-07-11,2992.21,0.0055313786440394,7.2024,18.0,9.13,4.0
2024-07-12,2973.21,-0.0063498217036905,7.2024,18.0,9.13,4.0
2024-07-15,2913.48,-0.0200893983270606,7.2024,18.0,9.13,4.0
2024-07-16,2944.86,0.0107706248198031,7.2024,18.0,9.13,4.0
2024-07-17,2947.24,0.0008081878255672,7.2024,18.0,9.13,4.0
